,,,,,,,,,,,,,
,,Jan2026,Feb2026,Mar2026,Apr2026,May2026,Jun2026,Jul2026,Aug2026,Sep2026,Oct2026,Nov2026,Dec2026
city,agg_account_name,Jan2026,Feb2026,Mar2026,Apr2026,May2026,Jun2026,Jul2026,Aug2026,Sep2026,Oct2026,Nov2026,Dec2026
Madrid,Net rate incl Other revenue,725426,540061,711395,844667,898448,1043497,1096722,771177,820180,1359608,1243070,1295410
Madrid,Nexus_03_Rev_net_incentives,725426,540061,711395,844667,898448,1043497,1096722,771177,820180,1359608,1243070,1295410
Madrid,No. of rides/orders,662891,645565,728473,710201,760396,721105,634425,603649,725345,812275,803145,871302
Madrid,OPEX (fixed cost),298434,249404,244722,240186,239171,218395,191829,163734,200666,223520,232858,233152
Madrid,Operations Management Total,21632,19664,21830,23552,25661,25333,22665,16570,22809,24102,23302,23930
Madrid,Other Operating Income and Expenses,2273,2122,2434,2351,2686,2626,2158,1763,2354,2682,2717,2830
Madrid,OtherOp exc Tax and Provisions,0,0,0,0,0,0,0,0,0,0,0,0
Madrid,Payment Processing,105229,85952,101020,102549,115503,114605,89612,75551,106058,115920,114643,127203
Madrid,Payroll,69662,65769,64627,68334,69661,66277,57703,53043,62561,65272,66350,66494
Madrid,Personnel Related Expenses,814,793,799,800,801,754,659,612,714,745,764,765
Madrid,R&D (exc IT Infrastructure),0,0,0,0,0,0,0,0,0,0,0,0
Madrid,Refunds,4553,3853,4524,4611,5223,5186,4091,3401,4793,5312,5273,5973
Madrid,Sales And Marketing,168105,126873,124906,117414,116428,104443,81596,75962,93633,110699,116999,116910
Madrid,Supply Incentives,817866,652535,621417,693982,793010,459226,487970,738381,707306,513206,666999,575104
Madrid,Tax Accrual,28953,24264,28559,29263,33120,32933,25879,21546,30529,33744,33431,38168
Madrid,Total Revenue,2816666,2355405,2773970,2840352,3205533,3180424,2514132,2099613,2964754,3278363,3246130,3702463
Madrid,Total campaigns cost,2091241,1815344,2062575,1995685,2307085,2136927,1417410,1328436,2144574,1918754,2003060,2407053
Madrid,Total revenue exc commission for net rate,6069,7141,8004,7221,8888,10272,7734,4039,9135,10170,9481,8664
Madrid,Travel,3059,2826,2835,2766,2769,2570,2151,1948,2407,2535,2604,2629
Madrid,Warehouse and Store Costs,6,6,6,6,7,7,6,5,6,7,7,7
Malaga,3000:Commission,651176,771209,962135,1101352,1238690,1318448,1350870,1396023,1249715,1132372,943367,963932
Malaga,4140:Supply: Car branding incentives,41430,49103,61629,107976,121900,130589,139000,143372,127377,93725,77935,79099
Malaga,4151:Supply: Projects,0,0,0,0,0,0,0,0,0,0,0,0
Malaga,4160:Supply: Booking fee,21933,25996,32627,37376,42196,45204,46333,47791,42459,38342,31882,32359
Malaga,4190:Supply: Insurance,1,1,1,1,1,1,1,1,1,1,1,1
Malaga,4230:Demand: Refunds Agent,1044,1223,1527,1733,1958,2089,2126,2178,1958,1786,1501,1521
Malaga,4231:Demand: Refunds Principal,6,6,7,7,8,7,6,5,7,8,8,8
Malaga,4300:Payment processing fees,19915,23325,29422,33990,38350,41235,42537,44145,38816,34726,28590,28034
Malaga,4310:Payout Fees,226,271,343,397,447,481,497,517,453,405,333,338
Malaga,4311:Fiscalization services,1641,2225,2591,2762,2839,2568,2465,2366,2569,2382,2301,2380
Malaga,4320:Fraud & Failed Payments,1807,1899,2398,2380,2684,2889,2487,2584,2267,1619,1330,1352
Malaga,4340:Debt expense,605,628,737,745,850,857,785,716,776,814,776,777
Malaga,5100:Operational costs,5,4,5,5,5,5,4,4,5,5,6,6
Malaga,5101:Operational fines,58,57,64,60,69,67,56,46,59,69,70,70
Malaga,5102:Operational Tax cost - Other,6580,7799,9788,11213,12659,13561,13900,14337,12738,11503,9565,9708
Malaga,5110:Hardware maintenance,7,7,8,7,8,8,7,5,7,8,8,8
Malaga,5230:Demand: Car Branding,2934,3862,3469,581,520,541,601,704,520,447,397,349
Malaga,6420:Infrastructure & services,2177,2947,3440,3653,3750,3383,3252,3109,3402,3146,3045,3170
Malaga,6421:Communication Services,946,1282,1492,1591,1635,1479,1420,1363,1480,1372,1326,1371
Malaga,6500:Travel and Transportation,1004,1301,1389,1492,1488,1484,1607,1790,1400,1200,1025,917
Malaga,Booking Fee,56052,65567,74317,83889,88612,83878,84944,91334,93410,89891,77226,86650
Malaga,COS IT Infrastructure,3123,4229,4932,5244,5385,4863,4672,4472,4882,4518,4371,4542
Malaga,COS Operational Costs,7692,9089,11391,13018,14699,15730,16094,16570,14766,13370,11149,11312
Malaga,COS Supply Costs,21943,26005,32638,37386,42208,45215,46343,47798,42469,38354,31894,32370
Malaga,Commission for Net Rate,651176,771209,962135,1101352,1238690,1318448,1350870,1396023,1249715,1132372,943367,963932
Malaga,Customer Support,6826,9381,9074,9510,9522,9193,10292,10107,8271,7249,6374,5810
Malaga,Customer Support G&A,142,227,242,286,321,320,304,336,301,265,245,185
Malaga,Demand Incentives,153905,294691,444090,508732,533312,301360,210430,162821,428223,581317,324518,362735
Malaga,Dynamic OPEX,56810,67444,84210,95636,107142,113519,115574,118832,106698,95923,80499,80921
Malaga,EBITDA (with overhead),278228,179806,101193,83098,160817,236552,300330,303976,324027,282155,316657,229492
Malaga,EBITDA (without overhead),278370,180033,101435,83384,161138,236872,300634,304313,324328,282421,316902,229676
Malaga,GA,0,0,0,0,0,0,0,0,0,0,0,0
Malaga,GMV,2437036,2888423,3625225,4152912,4688455,5022660,5148132,5310092,4717685,4260241,3542497,3595418
Malaga,Gross Branding Spend,41430,49103,61629,107976,121900,130589,139000,143372,127377,93725,77935,79099
Malaga,Gross Demand Spend,153905,294691,444090,508732,533312,301360,210430,162821,428223,581317,324518,362735
Malaga,Gross Net Rate,402327,324948,266092,266617,354916,434460,510437,522513,508837,450270,461300,368115
Malaga,Gross Supply Spend,53514,102467,190324,218028,228562,452039,491003,567317,185277,7061,79614,153982
Malaga,Group Allocations,2112,2527,2765,2889,2902,2869,8503,3308,2711,2476,2237,2061
Malaga,Local Operations,24086,28954,30439,34708,34663,34299,41603,39109,32893,29589,26511,24306
Malaga,Local ops Office Expenses,14,19,19,20,20,19,21,25,18,16,14,12
Malaga,Local ops Outsourced Services,3162,4125,4562,4754,4614,4431,4898,5702,4537,3923,3501,3077
Malaga,Local ops Software & Tools,787,752,894,1603,1246,1087,1030,968,1041,1003,828,717
Malaga,Marketing Admin,0,0,0,0,0,0,0,0,0,0,0,0
Malaga,Net Rate,402327,324948,266092,266617,354916,434460,510437,522513,508837,450270,461300,368115
Malaga,Net rate incl Other revenue,404060,326985,268376,268678,357453,437392,512645,523666,511444,453172,464006,370588
Malaga,Nexus_03_Rev_net_incentives,404060,326985,268376,268678,357453,437392,512645,523666,511444,453172,464006,370588
Malaga,No. of rides/orders,147878,200480,233383,248858,255750,231378,222052,213163,231399,214583,207328,214453
Malaga,OPEX (fixed cost),68879,79509,82731,89657,89173,87000,96437,100521,80419,74829,66604,59991
Malaga,Operations Management Total,5083,6208,7303,8752,9538,10087,11528,10221,9192,8069,6665,6164
Malaga,Other Operating Income and Expenses,605,628,737,745,850,857,785,716,776,814,776,777
Malaga,Payment Processing,23589,27720,34754,39529,44320,47174,47986,49613,44105,39132,32554,32104
Malaga,Payroll,17113,20379,20970,24108,24548,24569,25730,27539,23331,21072,18968,17565
Malaga,Personnel Related Expenses,198,247,261,285,285,282,299,325,269,242,218,201
Malaga,Refunds,1050,1229,1534,1740,1966,2097,2133,2184,1964,1793,1508,1529
Malaga,Sales And Marketing,37825,40947,42976,45154,44668,43187,44238,50968,38954,37725,33474,29691
Malaga,Supply Incentives,53514,102467,190324,218028,228562,452039,491003,567317,185277,7061,79614,153982
Malaga,Tax Accrual,6580,7799,9788,11213,12659,13561,13900,14337,12738,11503,9565,9708
Malaga,Total Revenue,652908,773247,964419,1103413,1241226,1321380,1353077,1397176,1252322,1135274,946073,966404
Malaga,Total campaigns cost,248849,446261,696043,834735,883774,883988,840432,873510,740878,682102,482067,595816
Malaga,Total revenue exc commission for net rate,1732,2038,2284,2061,2537,2932,2207,1153,2607,2902,2706,2473
Malaga,Travel,700,906,967,1049,1048,1043,1122,1242,987,857,745,673
Malaga,Warehouse and Store Costs,2,2,2,2,2,2,2,1,2,2,2,2
Murcia,3000:Commission,65493,59157,71113,70771,77848,80868,87584,97618,107418,110996,105284,116549
Murcia,4140:Supply: Car branding incentives,0,0,0,0,0,0,0,0,0,0,0,0
Murcia,4151:Supply: Projects,0,0,0,0,0,0,0,0,0,0,0,0
Murcia,4160:Supply: Booking fee,2358,2130,2560,2548,2803,2911,3153,3514,3867,3996,3790,4196
Murcia,4190:Supply: Insurance,0,0,0,0,0,0,0,0,0,0,0,0
Murcia,4230:Demand: Refunds Agent,105,95,114,113,125,129,140,156,172,178,168,186
Murcia,4300:Payment processing fees,2279,2011,2418,2406,2647,2750,2978,3319,3652,3774,3580,3823
Murcia,4310:Payout Fees,26,24,28,28,31,32,35,39,43,44,42,47
Murcia,4311:Fiscalization services,212,192,224,217,235,238,258,287,316,326,316,343
Murcia,4320:Fraud & Failed Payments,210,166,199,170,187,194,175,195,215,178,168,186
Murcia,4340:Debt expense,18,17,20,20,22,23,25,27,30,31,29,33
Murcia,5100:Operational costs,0,0,0,0,0,0,0,0,0,0,0,0
Murcia,5102:Operational Tax cost - Other,707,639,768,764,841,873,946,1054,1160,1199,1137,1259
Murcia,5230:Demand: Car Branding,340,337,288,41,36,36,42,53,49,49,50,48
Murcia,6420:Infrastructure & services,282,254,297,287,311,313,340,377,418,431,418,456
Murcia,6421:Communication Services,122,110,129,125,135,137,148,165,182,188,182,197
Murcia,6500:Travel and Transportation,116,113,115,106,104,100,113,135,133,132,130,126
Murcia,COS IT Infrastructure,404,364,426,411,446,450,488,542,600,619,600,654
Murcia,COS Operational Costs,812,734,882,878,965,1003,1086,1210,1332,1376,1306,1445
Murcia,COS Supply Costs,2358,2130,2560,2548,2803,2911,3153,3514,3867,3996,3790,4196
Murcia,Commission for Net Rate,65493,59157,71113,70771,77848,80868,87584,97618,107418,110996,105284,116549
Murcia,Customer Support,772,804,741,670,654,610,715,755,773,782,791,784
Murcia,Customer Support G&A,16,20,20,20,22,22,21,25,28,29,31,25
Murcia,Demand Incentives,20696,13961,22756,22647,24911,32347,42040,39047,34374,26639,25268,37296
Murcia,Dynamic OPEX,6303,5617,6737,6657,7313,7579,8176,9109,10027,10316,9800,10701
Murcia,EBITDA (with overhead),13293,16905,15643,15992,18320,13100,3266,11272,21943,31427,29370,24277
Murcia,EBITDA (without overhead),13310,16925,15663,16012,18342,13122,3287,11297,21971,31456,29401,24302
Murcia,GA,0,0,0,0,0,0,0,0,0,0,0,0
Murcia,GMV,261971,236626,284453,283084,311390,323472,350335,390471,429671,443985,421134,466197
Murcia,Gross Demand Spend,20696,13961,22756,22647,24911,32347,42040,39047,34374,26639,25268,37296
Murcia,Gross Net Rate,26459,28632,28445,28308,31139,25878,17517,27333,38670,48838,46325,41958
Murcia,Gross Supply Spend,18338,16564,19912,19816,21797,22643,28027,31238,34374,35519,33691,37296
Murcia,Group Allocations,150,153,163,153,149,142,457,196,188,190,189,183
Murcia,Local Operations,1792,1803,1846,1838,1808,1738,2275,2374,2345,2330,2306,2242
Murcia,Local ops Office Expenses,2,2,2,1,1,1,1,2,2,2,2,2
Murcia,Local ops Outsourced Services,353,349,369,331,313,290,338,425,421,419,430,411
Murcia,Local ops Software & Tools,37,35,39,38,39,40,43,47,51,51,47,47
Murcia,Marketing Admin,0,0,0,0,0,0,0,0,0,0,0,0
Murcia,Net Rate,26459,28632,28445,28308,31139,25878,17517,27333,38670,48838,46325,41958
Murcia,Net rate incl Other revenue,26459,28632,28445,28308,31139,25878,17517,27333,38670,48838,46325,41958
Murcia,Nexus_03_Rev_net_incentives,26459,28632,28445,28308,31139,25878,17517,27333,38670,48838,46325,41958
Murcia,No. of rides/orders,19122,17272,20174,19523,21183,21422,23201,25859,28455,29403,28455,30874
Murcia,OPEX (fixed cost),6847,6091,6045,5639,5484,5177,6054,6926,6672,7067,7123,6955
Murcia,Operations Management Total,458,436,503,542,581,600,735,707,773,762,700,706
Murcia,Other Operating Income and Expenses,18,17,20,20,22,23,25,27,30,31,29,33
Murcia,Payment Processing,2727,2392,2869,2821,3100,3214,3446,3840,4226,4322,4106,4399
Murcia,Payroll,1163,1176,1185,1230,1224,1186,1345,1597,1578,1565,1536,1500
Murcia,Personnel Related Expenses,15,15,16,15,15,14,16,19,19,19,19,18
Murcia,Refunds,105,95,114,113,125,129,140,156,172,178,168,186
Murcia,Sales And Marketing,4266,3464,3437,3111,2999,2808,3042,3771,3525,3927,3996,3903
Murcia,Supply Incentives,18338,16564,19912,19816,21797,22643,28027,31238,34374,35519,33691,37296
Murcia,Tax Accrual,707,639,768,764,841,873,946,1054,1160,1199,1137,1259
Murcia,Total Revenue,65493,59157,71113,70771,77848,80868,87584,97618,107418,110996,105284,116549
Murcia,Total campaigns cost,39034,30525,42668,42463,46709,54990,70067,70285,68747,62158,58959,74592
Murcia,Travel,73,72,74,69,68,65,74,88,86,86,85,83
Murcia,Warehouse and Store Costs,0,0,0,0,0,0,0,0,0,0,0,0
Pamplona,3000:Commission,35345,31924,36267,35691,37189,36881,55412,42431,85358,103683,105459,114264
Pamplona,4140:Supply: Car branding incentives,0,0,0,0,0,0,0,0,0,0,0,0
Pamplona,4151:Supply: Projects,0,0,1023,1023,1245,1245,2268,2268,2490,3513,3513,3735
Pamplona,4160:Supply: Booking fee,1272,1149,1306,1285,1339,1328,1995,1528,3073,3733,3797,4113
Pamplona,4190:Supply: Insurance,0,0,0,0,0,0,0,0,0,0,0,0
Pamplona,4230:Demand: Refunds Agent,57,51,58,57,60,59,89,68,137,166,169,183
Pamplona,4300:Payment processing fees,1230,1085,1233,1213,1264,1254,1884,1443,2902,3525,3586,3748
Pamplona,4310:Payout Fees,14,13,15,14,15,15,22,17,34,41,42,46
Pamplona,4311:Fiscalization services,136,123,136,132,136,132,191,148,287,346,352,381
Pamplona,4320:Fraud & Failed Payments,113,89,102,86,89,89,111,85,171,166,169,183
Pamplona,4340:Debt expense,10,9,10,10,10,10,16,12,24,29,30,32
Pamplona,5100:Operational costs,0,0,0,0,0,0,0,0,0,0,0,0
Pamplona,5102:Operational Tax cost - Other,382,345,392,385,402,398,598,458,922,1120,1139,1234
Pamplona,5230:Demand: Car Branding,184,182,147,21,17,17,27,23,39,46,50,47
Pamplona,6420:Infrastructure & services,181,163,181,175,180,174,252,195,380,457,466,508
Pamplona,6421:Communication Services,79,71,79,76,79,76,110,85,165,199,203,220
Pamplona,6500:Travel and Transportation,63,61,59,54,49,45,72,59,105,123,130,124
Pamplona,COS IT Infrastructure,260,234,260,251,259,250,361,280,546,657,669,728
Pamplona,COS Operational Costs,438,396,450,443,461,457,687,526,1058,1286,1308,1417
Pamplona,COS Supply Costs,1272,1149,2329,2308,2584,2573,4263,3796,5563,7246,7310,7848
Pamplona,Commission for Net Rate,35345,31924,36267,35691,37189,36881,55412,42431,85358,103683,105459,114264
Pamplona,Customer Support,417,434,378,338,312,278,453,328,614,730,793,769
Pamplona,Customer Support G&A,9,11,10,10,11,10,14,11,23,27,31,25
Pamplona,Demand Incentives,19793,11493,11606,9993,5950,10327,17732,6789,13657,16589,16873,18282
Pamplona,Dynamic OPEX,3465,3088,4524,4446,4809,4770,7521,6296,10562,13268,13433,14358
Pamplona,EBITDA (with overhead),1172,7533,9647,11116,16213,11890,8362,15462,30889,36922,37192,41415
Pamplona,EBITDA (without overhead),1181,7544,9657,11126,16224,11900,8376,15473,30912,36949,37223,41440
Pamplona,Fleet upfront investments,0,0,32800,0,0,0,32800,0,0,32800,0,0
Pamplona,GA,0,0,0,0,0,0,0,0,0,0,0,0
Pamplona,GMV,141381,127696,145069,142764,148757,147523,221648,169723,341431,414734,421836,457055
Pamplona,Gross Demand Spend,19793,11493,11606,9993,5950,10327,17732,6789,13657,16589,16873,18282
Pamplona,Gross Net Rate,8341,13919,17263,18417,23652,19030,19727,24780,46776,56819,57792,62616
Pamplona,Gross Supply Spend,7210,6512,7399,7281,7587,7524,17953,10862,24924,30276,30794,33365
Pamplona,Group Allocations,81,83,83,77,71,65,289,85,150,177,189,179
Pamplona,Issued loans outflow,150000,0,70000,0,0,0,0,0,0,0,0,0
Pamplona,Local Operations,967,973,942,927,864,793,1439,1032,1864,2176,2309,2199
Pamplona,Local ops Office Expenses,1,1,1,1,1,1,1,1,1,2,2,2
Pamplona,Local ops Outsourced Services,190,189,188,167,149,132,214,185,334,391,430,403
Pamplona,Local ops Software & Tools,20,19,20,19,19,18,27,20,41,47,47,46
Pamplona,Marketing Admin,0,0,0,0,0,0,0,0,0,0,0,0
Pamplona,Net Rate,8341,13919,17263,18417,23652,19030,19727,24780,46776,56819,57792,62616
Pamplona,Net rate incl Other revenue,8341,13919,17263,18417,23652,19030,19727,24780,46776,56819,57792,62616
Pamplona,Nexus_03_Rev_net_incentives,8341,13919,17263,18417,23652,19030,19727,24780,46776,56819,57792,62616
Pamplona,No. of rides/orders,12294,11104,12294,11897,12294,11897,17182,13364,25866,31183,31717,34365
Pamplona,OPEX (fixed cost),3695,3287,3083,2844,2620,2361,3830,3011,5302,6601,7135,6819
Pamplona,Operations Management Total,247,235,257,274,277,273,465,307,614,712,701,692
Pamplona,Other Operating Income and Expenses,10,9,10,10,10,10,16,12,24,29,30,32
Pamplona,Payment Processing,1494,1311,1486,1445,1505,1489,2208,1693,3394,4079,4149,4358
Pamplona,Payroll,628,635,604,620,585,541,851,694,1254,1462,1538,1471
Pamplona,Personnel Related Expenses,8,8,8,8,7,6,10,8,15,17,19,18
Pamplona,Refunds,57,51,58,57,60,59,89,68,137,166,169,183
Pamplona,Sales And Marketing,2302,1870,1753,1569,1433,1280,1925,1639,2801,3668,4002,3826
Pamplona,Supply Incentives,7210,6512,7399,7281,7587,7524,17953,10862,24924,30276,30794,33365
Pamplona,Tax Accrual,382,345,392,385,402,398,598,458,922,1120,1139,1234
Pamplona,Total Revenue,35345,31924,36267,35691,37189,36881,55412,42431,85358,103683,105459,114264
Pamplona,Total campaigns cost,27004,18005,19004,17274,13537,17850,35685,17651,38582,46865,47667,51647
Pamplona,Travel,39,39,38,35,32,30,47,38,69,80,85,81
Santander,4151:Supply: Projects,0,0,218,218,317,317,534,534,633,851,851,950
Santander,COS Supply Costs,0,0,218,218,317,317,534,534,633,851,851,950
Santander,Dynamic OPEX,0,0,218,218,317,317,534,534,633,851,851,950
Santander,EBITDA (with overhead),0,0,-218,-218,-317,-317,-534,-534,-633,-851,-851,-950
Santander,EBITDA (without overhead),0,0,-218,-218,-317,-317,-534,-534,-633,-851,-851,-950
Santander,Fleet upfront investments,0,0,12300,0,0,0,12300,0,0,12300,0,0
Santander,Issued loans outflow,11000,0,85023,0,0,0,0,0,0,0,0,0
Sevilla,3000:Commission,45382,42613,49019,59274,56595,48970,42160,28768,53659,57189,54173,58589
Sevilla,4140:Supply: Car branding incentives,4919,5096,5196,4813,5614,5485,5059,3452,6439,6863,6501,7031
Sevilla,4151:Supply: Projects,0,0,0,0,0,0,0,0,0,0,0,0
Sevilla,4160:Supply: Booking fee,1634,1534,1765,2134,2037,1763,1518,1036,1932,2059,1950,2109
Sevilla,4190:Supply: Insurance,0,0,0,0,0,0,0,0,0,0,0,0
Sevilla,4230:Demand: Refunds Agent,73,68,78,95,91,78,67,46,86,92,87,94
Sevilla,4300:Payment processing fees,1579,1449,1667,2015,1924,1665,1433,978,1824,1944,1842,1922
Sevilla,4310:Payout Fees,18,17,20,24,23,20,17,12,21,23,22,23
Sevilla,4311:Fiscalization services,119,108,122,141,130,121,103,69,116,123,117,127
Sevilla,4320:Fraud & Failed Payments,145,119,137,142,136,118,84,58,107,92,87,94
Sevilla,4340:Debt expense,13,12,14,17,16,14,12,8,15,16,15,16
Sevilla,5100:Operational costs,0,0,0,0,0,0,0,0,0,0,0,0
Sevilla,5102:Operational Tax cost - Other,490,460,529,640,611,529,455,311,580,618,585,633
Sevilla,5230:Demand: Car Branding,236,243,198,35,26,22,20,16,25,25,26,24
Sevilla,6420:Infrastructure & services,157,143,161,187,171,160,136,91,154,162,155,169
Sevilla,6421:Communication Services,68,62,70,82,75,70,59,40,67,71,67,73
Sevilla,6500:Travel and Transportation,81,82,79,89,75,60,54,40,66,68,67,64
Sevilla,COS IT Infrastructure,225,205,231,269,246,230,195,130,221,233,222,242
Sevilla,COS Operational Costs,563,528,608,735,702,607,523,357,665,709,672,727
Sevilla,COS Supply Costs,1634,1534,1765,2134,2037,1763,1518,1036,1932,2059,1950,2109
Sevilla,Commission for Net Rate,45382,42613,49019,59274,56595,48970,42160,28768,53659,57189,54173,58589
Sevilla,Customer Support,535,579,511,561,475,369,344,223,386,403,407,394
Sevilla,Customer Support G&A,11,14,14,17,16,13,10,7,14,15,16,13
Sevilla,Demand Incentives,23598,15341,17647,28451,20374,17629,8432,5754,19317,18300,17335,25779
Sevilla,Dynamic OPEX,4284,3959,4549,5460,5197,4524,3874,2640,4888,5183,4910,5247
Sevilla,EBITDA (with overhead),-7062,1543,2349,-13116,2844,2122,11414,10041,2067,5115,8311,-2194
Sevilla,EBITDA (without overhead),-7050,1557,2363,-13099,2860,2135,11425,10048,2081,5130,8327,-2182
Sevilla,GA,0,0,0,0,0,0,0,0,0,0,0,0
Sevilla,GMV,181526,170450,196077,237094,226379,195880,168641,115070,214635,228756,216691,234356
Sevilla,Gross Branding Spend,4919,5096,5196,4813,5614,5485,5059,3452,6439,6863,6501,7031
Sevilla,Gross Demand Spend,23598,15341,17647,28451,20374,17629,8432,5754,19317,18300,17335,25779
Sevilla,Gross Net Rate,1979,9903,11078,-2916,12043,9794,18213,14729,10302,13954,16902,6562
Sevilla,Gross Supply Spend,14885,12272,15098,28925,18563,16062,10456,4833,17600,18072,13435,19217
Sevilla,Group Allocations,104,110,112,128,108,86,220,58,94,98,97,92
Sevilla,Local Operations,1242,1299,1273,1539,1314,1053,1095,700,1172,1200,1186,1127
Sevilla,Local ops Office Expenses,1,1,1,1,1,1,1,1,1,1,1,1
Sevilla,Local ops Outsourced Services,245,252,254,277,227,176,163,125,210,216,221,206
Sevilla,Local ops Software & Tools,26,25,27,32,28,24,21,14,26,26,24,24
Sevilla,Marketing Admin,0,0,0,0,0,0,0,0,0,0,0,0
Sevilla,Net Rate,1979,9903,11078,-2916,12043,9794,18213,14729,10302,13954,16902,6562
Sevilla,Net rate incl Other revenue,1979,9903,11078,-2916,12043,9794,18213,14729,10302,13954,16902,6562
Sevilla,Nexus_03_Rev_net_incentives,1979,9903,11078,-2916,12043,9794,18213,14729,10302,13954,16902,6562
Sevilla,No. of rides/orders,10678,9740,10954,12747,11669,10943,9266,6220,10470,11051,10519,11432
Sevilla,OPEX (fixed cost),4744,4387,4167,4723,3987,3135,2914,2041,3333,3641,3665,3496
Sevilla,Operations Management Total,318,314,347,454,422,363,354,208,386,393,360,355
Sevilla,Other Operating Income and Expenses,13,12,14,17,16,14,12,8,15,16,15,16
Sevilla,Payment Processing,1861,1693,1945,2323,2212,1924,1637,1116,2069,2181,2067,2166
Sevilla,Payroll,806,847,817,1030,890,718,647,471,788,806,790,754
Sevilla,Personnel Related Expenses,10,11,11,13,11,9,8,6,9,10,10,9
Sevilla,Refunds,73,68,78,95,91,78,67,46,86,92,87,94
Sevilla,Sales And Marketing,2956,2495,2369,2605,2180,1700,1464,1111,1761,2023,2056,1962
Sevilla,Supply Incentives,14885,12272,15098,28925,18563,16062,10456,4833,17600,18072,13435,19217
Sevilla,Tax Accrual,490,460,529,640,611,529,455,311,580,618,585,633
Sevilla,Total Revenue,45382,42613,49019,59274,56595,48970,42160,28768,53659,57189,54173,58589
Sevilla,Total campaigns cost,43403,32709,37941,62190,44551,39176,23947,14039,43356,43235,37271,52027
Sevilla,Total revenue exc commission for net rate,0,0,0,0,0,0,0,0,0,0,0,0
Sevilla,Travel,50,52,51,58,49,39,36,26,43,44,44,41
Sevilla,Warehouse and Store Costs,0,0,0,0,0,0,0,0,0,0,0,0
Spain,6500:Travel and Transportation,0,0,0,0,0,0,0,0,0,0,0,0
Spain,6721:Tax Provisions,0,0,0,0,0,0,0,0,0,0,0,0
Spain,Customer Support,0,0,0,0,0,0,0,0,0,0,0,0
Spain,Customer Support G&A,0,0,0,0,0,0,0,0,0,0,0,0
Spain,Dynamic OPEX,0,0,0,0,0,0,0,0,0,0,0,0
Spain,EBITDA (with overhead),-56068,-69385,-64400,-65195,-75506,-64898,-75511,-66119,-75561,-71284,-83502,-86727
Spain,EBITDA (without overhead),-3520,-4554,-4759,-4231,-4126,-4157,-3185,-3258,-4073,-4253,-4687,-3728
Spain,GA,38887,51589,46559,42408,49201,38629,45733,40901,49379,44851,56494,60293
Spain,Group Allocations,0,0,0,0,0,0,0,0,0,0,0,0
Spain,Local Operations,3520,4554,4759,4231,4126,4157,3185,3258,4073,4253,4687,3728
Spain,Local ops Office Expenses,0,0,0,0,0,0,0,0,0,0,0,0
Spain,Local ops Outsourced Services,2042,2042,2042,2042,2042,2042,2042,2042,2042,2042,2042,2042
Spain,Local ops Software & Tools,1633,1633,1633,1633,1633,1633,1633,1633,1633,1633,1633,1633
Spain,Marketing Admin,13661,13242,13082,18555,22179,22112,26593,21960,22109,22180,22321,22705
Spain,OPEX (fixed cost),3520,4554,4759,4231,4126,4157,3185,3258,4073,4253,4687,3728
Spain,Operations Management Total,3520,4554,4759,4231,4126,4157,3185,3258,4073,4253,4687,3728
Spain,OtherOp exc Tax and Provisions,0,0,0,0,0,0,0,0,0,0,0,0
Spain,Payroll,-155,879,1084,556,451,482,-490,-417,398,578,1012,53
Spain,Personnel Related Expenses,0,0,0,0,0,0,0,0,0,0,0,0
Spain,R&D (exc IT Infrastructure),0,0,0,0,0,0,0,0,0,0,0,0
Spain,Tax Accrual,0,0,0,0,0,0,0,0,0,0,0,0
Spain,Travel,0,0,0,0,0,0,0,0,0,0,0,0
Toledo,3000:Commission,65290,57743,65743,68895,72614,70273,51552,34409,58452,60401,57298,61593
Toledo,4140:Supply: Car branding incentives,0,0,0,0,0,0,0,0,0,0,0,0
Toledo,4151:Supply: Projects,0,0,221,221,237,237,458,458,474,695,695,711
Toledo,4160:Supply: Booking fee,2350,2079,2367,2480,2614,2530,1856,1239,2104,2174,2063,2217
Toledo,4190:Supply: Insurance,0,0,0,0,0,0,0,0,0,0,0,0
Toledo,4230:Demand: Refunds Agent,104,92,105,110,116,112,82,55,94,97,92,99
Toledo,4300:Payment processing fees,2272,1963,2235,2342,2469,2389,1753,1170,1987,2054,1948,2020
Toledo,4310:Payout Fees,26,23,26,28,29,28,21,14,23,24,23,25
Toledo,4311:Fiscalization services,201,182,201,204,211,204,159,105,171,176,171,176
Toledo,4320:Fraud & Failed Payments,209,162,184,165,174,169,103,69,117,97,92,99
Toledo,4340:Debt expense,18,16,18,19,20,20,14,10,16,17,16,17
Toledo,5100:Operational costs,0,0,0,0,0,0,0,0,0,0,0,0
Toledo,5102:Operational Tax cost - Other,705,624,710,744,784,759,557,372,631,652,619,665
Toledo,5230:Demand: Car Branding,339,329,266,40,34,32,25,19,27,27,27,25
Toledo,6420:Infrastructure & services,267,241,267,270,278,269,210,138,226,233,226,235
Toledo,6421:Communication Services,116,105,116,117,121,117,92,61,98,102,98,102
Toledo,6500:Travel and Transportation,116,111,107,104,97,87,67,48,72,72,71,67
Toledo,COS IT Infrastructure,383,346,383,387,400,386,301,199,325,335,324,337
Toledo,COS Operational Costs,810,716,815,854,900,871,639,427,725,749,710,764
Toledo,COS Supply Costs,2350,2079,2588,2701,2851,2767,2314,1697,2578,2869,2758,2928
