,,,,,,,,,,,,,
,,Jan2026,Feb2026,Mar2026,Apr2026,May2026,Jun2026,Jul2026,Aug2026,Sep2026,Oct2026,Nov2026,Dec2026
city,agg_account_name,Jan2026,Feb2026,Mar2026,Apr2026,May2026,Jun2026,Jul2026,Aug2026,Sep2026,Oct2026,Nov2026,Dec2026
Alicante,4160:Supply: Booking fee,0,0,3046,4517,6669,13036,16816,18216,15388,16534,11721,20999
Alicante,4230:Demand: Refunds Agent,0,0,135,201,296,579,747,810,684,735,521,933
Alicante,4300:Payment processing fees,0,0,2877,4266,6299,12311,15882,17204,14533,15615,11070,19132
Alicante,4310:Payout Fees,0,0,34,50,74,145,187,202,171,184,130,233
Alicante,4311:Fiscalization services,0,0,203,301,426,804,997,1035,994,1090,790,1349
Alicante,4320:Fraud & Failed Payments,0,0,237,301,445,869,934,1012,855,735,521,933
Alicante,4340:Debt expense,0,0,24,35,52,101,131,142,120,129,91,163
Alicante,5102:Operational Tax cost - Other,0,0,914,1355,2001,3911,5045,5465,4616,4960,3516,6300
Alicante,5230:Demand: Car Branding,0,0,343,74,86,163,226,276,196,203,156,241
Alicante,6420:Infrastructure & services,0,0,270,398,563,1059,1316,1360,1316,1440,1045,1796
Alicante,6421:Communication Services,0,0,117,173,245,463,574,596,572,628,455,777
Alicante,6500:Travel and Transportation,0,0,137,189,247,447,604,701,528,544,401,633
Alicante,COS IT Infrastructure,0,0,387,572,808,1522,1890,1957,1889,2069,1500,2574
Alicante,COS Operational Costs,0,0,1049,1556,2297,4490,5792,6275,5300,5695,4037,7233
Alicante,COS Supply Costs,0,0,3046,4517,6669,13036,16816,18216,15388,16534,11721,20999
Alicante,Commission for Net Rate,0,0,84624,125481,185251,362100,467111,506011,427444,459272,325594,583296
Alicante,Customer Support,0,0,882,1188,1556,2730,3815,3916,3075,3234,2447,3925
Alicante,Customer Support G&A,0,0,24,36,53,96,114,132,113,120,96,128
Alicante,Demand Incentives,0,0,110688,144052,145978,256367,237292,115371,165848,172686,122423,289315
Alicante,Dynamic OPEX,0,0,7833,11563,17017,33182,42515,45912,39136,41930,29766,52488
Alicante,EBITDA (with overhead),0,0,-85119,-100901,-64946,-95566,-26335,112363,43626,49957,37973,-5763
Alicante,EBITDA (without overhead),0,0,-85095,-100865,-64893,-95469,-26220,112494,43739,50077,38069,-5635
Alicante,GMV,0,0,338495,501924,741004,1448400,1868443,2024046,1709775,1837088,1302374,2333184
Alicante,Gross Demand Spend,0,0,110688,144052,145978,256367,237292,115371,165848,172686,122423,289315
Alicante,Gross Net Rate,0,0,-70068,-79304,-34827,-39107,48580,194308,109426,121248,89864,81661
Alicante,Gross Supply Spend,0,0,44004,60733,74100,144840,181239,196332,152170,165338,113307,212320
Alicante,Group Allocations,0,0,194,271,355,636,2439,1017,749,785,583,914
Alicante,Local Operations,0,0,2197,3259,4303,7783,12132,12306,9333,9639,7130,11223
Alicante,Local ops Office Expenses,0,0,2,3,3,6,8,10,7,7,5,8
Alicante,Local ops Outsourced Services,0,0,439,587,744,1298,1803,2201,1674,1732,1328,2055
Alicante,Local ops Software & Tools,0,0,46,67,92,179,230,244,204,210,144,235
Alicante,Net Rate,0,0,-70068,-79304,-34827,-39107,48580,194308,109426,121248,89864,81661
Alicante,Net rate incl Other revenue,0,0,-70068,-79304,-34827,-39107,48580,194308,109426,121248,89864,81661
Alicante,Nexus_03_Rev_net_incentives,0,0,-70068,-79304,-34827,-39107,48580,194308,109426,121248,89864,81661
Alicante,No. of rides/orders,0,0,"18,297","27,131","38,394","72,420","89,829","93,274","89,517","98,240","71,168","121,520"
Alicante,OPEX (fixed cost),0,0,"7,193","9,998","13,049","23,181","32,285","35,902","26,551","29,241","22,029","34,808"
Alicante,Operations Management Total,0,0,599,962,"1,382",2685,3918,"3,666","3,076","3,155","2,164",3535
Alicante,Other Operating Income and Expenses,0,0,24,35,52,101,131,142,120,129,91,163
Alicante,Payment Processing,0,0,3351,4919,7243,14129,18000,19454,16553,17624,12511,21648
Alicante,Payroll,0,0,1410,2181,2912,5312,7173,8277,6280,6474,4750,7507
Alicante,Personnel Related Expenses,0,0,19,27,35,63,86,101,75,77,57,90
Alicante,Refunds,0,0,135,201,296,579,747,810,684,735,521,933
Alicante,Sales And Marketing,0,0,4090,5515,7137,12571,16225,19548,14029,16247,12356,19533
Alicante,Supply Incentives,0,0,44004,60733,74100,144840,181239,196332,152170,165338,113307,212320
Alicante,Tax Accrual,0,0,914,1355,2001,3911,5045,5465,4616,4960,3516,6300
Alicante,Total Revenue,0,0,84624,125481,185251,362100,467111,506011,427444,459272,325594,583296
Alicante,Total campaigns cost,0,0,154692,204785,220078,401207,418531,311703,318018,338024,235730,501635
Alicante,Travel,0,0,88,123,161,291,393,458,344,355,262,413
Barcelona,3000:Commission,626674,615500,623516,745675,872800,1057270,903908,862113,825807,774336,679320,665966
Barcelona,4140:Supply: Car branding incentives,27966,40560,37612,40277,40435,39292,31903,30685,30091,31286,29414,27409
Barcelona,4151:Supply: Projects,0,0,0,0,0,0,0,0,0,0,0,0
Barcelona,4160:Supply: Booking fee,20975,20624,21025,25173,29586,36084,30874,29379,27920,26072,22821,22224
Barcelona,4190:Supply: Insurance,0,0,0,0,0,0,0,0,0,0,0,0
Barcelona,4230:Demand: Refunds Agent,952,936,957,1140,1339,1627,1392,1321,1261,1182,1038,1012
Barcelona,4231:Demand: Refunds Principal,2,2,2,2,2,2,2,1,2,2,2,2
Barcelona,4300:Payment processing fees,19903,19123,19455,23396,27508,33658,28805,27461,25997,24194,21114,19829
Barcelona,4310:Payout Fees,228,224,228,274,323,395,338,322,305,284,247,241
Barcelona,4311:Fiscalization services,1256,1210,1180,1306,1446,1500,1401,1423,1405,1365,1308,1271
Barcelona,4320:Fraud & Failed Payments,1823,1569,1595,1646,1935,2370,1690,1612,1525,1134,989,963
Barcelona,4340:Debt expense,289,284,303,327,381,427,363,328,346,352,330,325
Barcelona,5100:Operational costs,1,1,1,1,2,2,1,1,1,2,2,2
Barcelona,5101:Operational fines,17,16,19,17,20,19,16,13,17,20,20,20
Barcelona,5102:Operational Tax cost - Other,6292,6187,6308,7552,8876,10825,9262,8814,8376,7822,6846,6667
Barcelona,5110:Hardware maintenance,2,2,2,2,2,2,2,2,2,2,2,2
Barcelona,5230:Demand: Car Branding,2960,3190,2307,402,375,443,409,439,349,313,295,248
Barcelona,6420:Infrastructure & services,1665,1602,1567,1727,1910,1975,1848,1869,1861,1803,1731,1693
Barcelona,6421:Communication Services,723,697,680,753,833,864,807,820,809,786,753,732
Barcelona,6500:Travel and Transportation,3174,3237,3086,3193,3235,3379,3254,3278,3103,3002,2924,2815
Barcelona,Booking Fee,58729,56829,52563,61813,68049,73371,61747,61370,67008,66918,60604,64942
Barcelona,COS IT Infrastructure,2389,2299,2247,2480,2742,2839,2655,2689,2670,2589,2484,2425
Barcelona,COS Operational Costs,7264,7143,7286,8712,10239,12475,10673,10151,9658,9028,7909,7703
Barcelona,COS Supply Costs,20977,20626,21028,25176,29590,36088,30876,29381,27923,26075,22825,22227
Barcelona,Commission for Net Rate,626674,615500,623516,745675,872800,1057270,903908,862113,825807,774336,679320,665966
Barcelona,Customer Support,6766,7658,5980,6527,6810,7478,6941,6268,5518,5028,4683,4085
Barcelona,Customer Support G&A,143,188,161,198,231,263,207,210,202,186,182,132
Barcelona,Demand Incentives,76311,175438,219504,256652,320323,466306,262631,187811,370971,295292,201359,173044
Barcelona,Dynamic OPEX,53985,52290,53162,63120,73932,89489,76593,73156,69627,64835,57024,54851
Barcelona,EBITDA (with overhead),335974,169098,115032,156122,164181,84736,76748,72786,147291,260533,295878,256126
Barcelona,EBITDA (without overhead),336118,"169,286.00",115193,156320,164412,84999,76955,72996,147493,260719,296060,256257
Barcelona,GA,0,0,0,0,0,0,0,0,0,0,0,0
Barcelona,GMV,2330508,2291510,2336143,2796981,3287382,4009366,3430389,3264342,3102205,2896879,2535721,2469286
